C2BrOP,O=PC#CBr
C2H3Cl2OP_3,O=P1C(Cl)(Cl)C1
C2H3Cl2OP_4,O=P1C(Cl)C1Cl
C2H3Cl2OP_5,ClC(=CCl)[P]([H])([H])=O
C2H3Cl2OP_6,ClC(Cl)=C[P]([H])([H])=O
C3H4BrOP,O=PC(Br)C=C
C3H4BrOP_1,O=PCC(Br)=C
C3H4BrOP_2,O=PCC=CBr
C3H4BrOP_3,BrC#CPOC
C3H4BrOP_4,O=P(C)C#CBr
C3H4BrOP_5,O=P(CBr)C#C
C3H4BrOP_6,O=P1C=CC1Br
C3H4BrOP_7,O=P1C=C(Br)C1
C3H4BrOP_8,O=P1C(Br)=CC1
C3H4BrOP_9,BrC(C#C)[P]([H])([H])=O
C3H4BrOP_10,BrC#CC[P]([H])([H])=O
C3H4ClOP,O=PC(Cl)C=C
C3H4ClOP_1,ClC(PO)C#C
C3H4ClOP_2,O=PCC(Cl)=C
C3H4ClOP_3,O=PCC=CCl
C3H4ClOP_4,ClC#CPOC
C3H4ClOP_5,O=P(C)C#CCl
C3H4ClOP_6,O=P(CCl)C#C
C3H4ClOP_7,O=P1C=CC1Cl
C3H4ClOP_8,O=P1C=C(Cl)C1
C3H4ClOP_9,O=P1C(Cl)=CC1
C3H4ClOP_10,ClC#CC[P]([H])([H])=O
C3H4FOP,O=PC(F)C=C
C3H4FOP_1,O=PCC(F)=C
C3H4FOP_2,O=PCC=CF
C3H4FOP_3,FC#CPOC
C3H4FOP_4,O=P(C)C#CF
C3H4FOP_5,O=P1C=CC1F
C3H4FOP_6,O=P1C=C(F)C1
C3H4FOP_7,O=P1C(F)=CC1
C3H4FOP_8,O=P(CF)C#C
C3H4FOP_9,FC(C#C)[P]([H])([H])=O
C3H4FOP_10,FC#CC[P]([H])([H])=O
C3H4IOP,O=PC(I)C=C
C3H4IOP_1,O=PCC(I)=C
C3H4IOP_2,O=PCC=CI
C3H4IOP_3,IC#CPOC
C3H4IOP_4,O=P(C)C#CI
C3H4IOP_5,O=P1C=CC1I
C3H4IOP_6,O=P1C=C(I)C1
C3H4IOP_7,O=P1C(I)=CC1
C3H4IOP_8,O=P(CI)C#C
C3H4IOP_9,IC(C#C)[P]([H])([H])=O
C3H4IOP_10,IC#CC[P]([H])([H])=O
C3H6BrOP,O=PC(Br)CC
C3H6BrOP_1,BrC(POC)=C
C3H6BrOP_2,O=P(C)C(Br)=C
C3H6BrOP_3,O=PCC(Br)C
C3H6BrOP_4,BrC=CPOC
C3H6BrOP_5,O=P(C)C=CBr
C3H6BrOP_6,O=PCCCBr
C3H6BrOP_7,O=P(CBr)C=C
C3H6BrOP_8,O=P1(CBr)CC1
C3H6BrOP_9,BrC1CP1OC
C3H6BrOP_10,O=P1(C)C(Br)C1
C3H6BrOP_11,O=P1C(Br)CC1
C3H6BrOP_12,O=P1CC(Br)C1
C3H6BrOP_13,BrC(C=C)[P]([H])([H])=O
C3H6BrOP_14,BrC(=C)C[P]([H])([H])=O
C3H6BrOP_15,BrC=CC[P]([H])([H])=O
C3H6ClOP,O=PC(Cl)CC
C3H6ClOP_1,ClC(POC)=C
C3H6ClOP_2,O=P(C)C(Cl)=C
C3H6ClOP_3,O=PCC(Cl)C
C3H6ClOP_4,ClC=CPOC
C3H6ClOP_5,O=P(C)C=CCl
C3H6ClOP_6,O=PCCCCl
C3H6ClOP_7,O=P(CCl)C=C
C3H6ClOP_8,O=P1(CCl)CC1
C3H6ClOP_9,ClC1CP1OC
C3H6ClOP_10,O=P1(C)C(Cl)C1
C3H6ClOP_11,O=P1C(Cl)CC1
C3H6ClOP_12,O=P1CC(Cl)C1
C3H6ClOP_13,ClC(C=C)[P]([H])([H])=O
C3H6ClOP_14,ClC=CC[P]([H])([H])=O
C3H6FOP,O=PC(F)CC
C3H6FOP_1,FC(POC)=C
C3H6FOP_2,O=P(C)C(F)=C
C3H6FOP_3,O=PCC(F)C
C3H6FOP_4,FC=CPOC
C3H6FOP_5,O=P(C)C=CF
C3H6FOP_6,O=PCCCF
C3H6FOP_7,O=P(CF)C=C
C3H6FOP_8,O=P1(CF)CC1
C3H6FOP_9,FC1CP1OC
C3H6FOP_10,O=P1(C)C(F)C1
C3H6FOP_11,O=P1C(F)CC1
C3H6FOP_12,O=P1CC(F)C1
C3H6FOP_13,FC(C=C)[P]([H])([H])=O
C3H6FOP_14,FC=CC[P]([H])([H])=O
C3H6IOP,O=PC(I)CC
C3H6IOP_1,IC(POC)=C
C3H6IOP_2,O=P(C)C(I)=C
C3H6IOP_3,O=PCC(I)C
C3H6IOP_4,IC=CPOC
C3H6IOP_5,O=P(C)C=CI
C3H6IOP_6,O=PCCCI
C3H6IOP_7,O=P(CI)C=C
C3H6IOP_8,O=P1(CI)CC1
C3H6IOP_9,IC1CP1OC
C3H6IOP_10,O=P1(C)C(I)C1
C3H6IOP_11,O=P1C(I)CC1
C3H6IOP_12,O=P1CC(I)C1
C3H6IOP_13,IC(C=C)[P]([H])([H])=O
C3H6IOP_14,IC(=C)C[P]([H])([H])=O
C3H6IOP_15,IC=CC[P]([H])([H])=O
C3H8BrOP,BrC(POC)C
C3H8BrOP_1,O=P(C)C(Br)C
C3H8BrOP_2,BrCCPOC
C3H8BrOP_3,O=P(C)CCBr
C3H8BrOP_4,O=P(CBr)CC
C3H8BrOP_5,CP(CBr)OC
C3H8BrOP_6,O=P(CBr)(C)C
C3H8BrOP_7,BrC(C)C[P]([H])([H])=O
C3H8BrOP_8,BrCCC[P]([H])([H])=O
C3H8ClOP,ClC(POC)C
C3H8ClOP_1,O=P(C)C(Cl)C
C3H8ClOP_2,ClCCPOC
C3H8ClOP_3,O=P(C)CCCl
C3H8ClOP_4,O=P(CCl)CC
C3H8ClOP_5,CP(CCl)OC
C3H8ClOP_6,O=P(CCl)(C)C
C3H8ClOP_7,ClC(CC)[P]([H])([H])=O
C3H8ClOP_8,ClC(C)C[P]([H])([H])=O
C3H8ClOP_9,ClCCC[P]([H])([H])=O
C3H8IOP,IC(POC)C
C3H8IOP_1,O=P(C)C(I)C
C3H8IOP_2,ICCPOC
C3H8IOP_3,O=P(C)CCI
C3H8IOP_4,CP(CI)OC
C3H8IOP_5,O=P(CI)(C)C
C3H8IOP_6,O=P(CI)CC
C3H8IOP_7,IC(CC)[P]([H])([H])=O
C3H8IOP_8,IC(C)C[P]([H])([H])=O
C3H8IOP_9,ICCC[P]([H])([H])=O
C3H9PSe,[Se]=P(C)(C)C
C2H7OPSe,CP(C)(O)=[Se]
H6N3PSe,NP(N)(N)=[Se]
CH5O2PSe,CP(O)(O)=[Se]
H5N2OPSe,NP(N)(O)=[Se]
H4NO2PSe,[Se]=P(N)(O)O
H3O3PSe,[Se]=P(O)(O)O
CH3F2PSe,CP(F)(F)=[Se]
C4H9PSe,CP(C)(C=C)=[Se]
C4H11PSe_1,[Se]=P(CC)(C)C
C3H10NPSe,[Se]=P(C)(NC)C
C2H7O2PSe,[Se]=P(CC)(O)O
C2H7O2PSe_1,[Se]=P(C)(O)OC
CH5O3PSe_1,[Se]=P(OC)(O)O
C2H7OPSSe,[Se]=P(C)(OC)S
CH5OPS2Se,[Se]=P(S)(OC)S
C2H5F2PSe,CCP(F)(F)=[Se]
C3H9PSSe,CP(C)(SC)=[Se]
CH39OPSe_1,CP(C)(OC)=[Se]
C3H9PSe2,CP(C)([Se]C)=[Se]
